1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 71D5 1.09 4.97 6.44 0.90 0.44 0.20 0.10 0.06 "ATI MOBILITY RADEON X1700"
1002 71DE 0.98 4.47 4.90 0.77 0.37 0.17 0.09 0.06 "ATI MOBILITY RADEON X1700"
1002 7240 1.86 21.02 27.69 3.84 1.84 0.83 0.44 0.27 "Radeon X1950 Series (Microsoft Corporation - WDDM)"
1002 7244 1.84 20.66 27.64 3.81 1.87 0.82 0.44 0.27 "Radeon X1950 Series (Microsoft Corporation - WDDM)"
1002 7249 2.30 25.89 34.33 4.62 2.14 1.00 0.54 0.33 "Radeon X1900 Series (Microsoft Corporation - WDDM)"
1002 724B 1.90 16.07 22.15 2.95 1.45 0.64 0.34 0.21 "Radeon X1900 GT"
1002 7280 2.39 17.94 25.35 3.41 1.64 0.75 0.40 0.24 "Radeon X1950 Pro"
1002 7288 1.83 15.03 21.18 2.86 1.40 0.62 0.33 0.20 "ATI Radeon X1950 GT (Microsoft Corporation - WDDM)"
1002 7291 1.85 10.52 9.81 1.80 0.86 0.40 0.22 0.13 "Radeon X1650 Series"
1002 72A0 2.14 17.49 24.67 3.33 1.63 0.72 0.38 0.24 "Radeon X1950 Pro Secondary"
1002 791E 1.04 1.46 3.04 0.56 0.28 0.12 0.07 0.05 "ATI Radeon X1200 Series (Microsoft Corporation - WDDM)"
1002 791F 0.19 1.46 2.51 0.57 0.28 0.12 0.07 0.05 "ATI Radeon X1200 Series"
1002 7941 1.24 1.83 5.66 0.79 0.39 0.19 0.10 0.06 "ATI Radeon Xpress 1200 Series"
1002 7942 0.66 1.83 5.52 0.84 0.42 0.20 0.10 0.07 "ATI Radeon Xpress 1250"
1002 9400 42.04 43.23 43.01 6.17 3.07 1.71 1.14 0.84 "ATI Radeon HD 2900 XT"
1002 940F 33.85 34.32 34.60 4.94 2.45 1.36 0.91 0.67 "ATI FireGL V7600"
1002 9440 86.62 107.10 43.74 10.92 8.05 4.51 2.86 2.08 "ATI Radeon HD 4800 Series"
1002 9441 59.33 72.62 29.52 7.35 5.36 3.04 1.94 1.41 "ATI Radeon HD 4870 X2"
1002 9442 72.48 87.98 36.06 8.92 6.67 3.65 2.36 1.70 "ATI Radeon HD 4800 Series"
1002 9443 72.36 87.92 35.80 8.97 6.64 3.71 2.35 1.71 "ATI Radeon HD 4850 X2"
1002 944A 58.47 71.33 28.97 7.27 5.36 3.01 1.91 1.39 "ATI Mobility Radeon HD 4850"
1002 944C 64.56 64.38 32.90 8.20 4.93 2.76 1.76 1.26 "ATI Radeon HD 4800 Series"
1002 945A 57.34 70.11 28.57 7.11 5.25 2.96 1.88 1.36 "ATI Mobility Radeon HD 4870"
1002 9460 99.07 123.16 49.76 12.40 9.16 5.12 3.26 2.37 "ATI Radeon HD 4800 Series"
1002 9480 33.39 34.18 17.44 4.30 3.86 2.65 1.75 1.28 "ATI Mobility Radeon HD 4650"
1002 9488 36.96 16.65 8.47 4.64 4.00 2.81 1.85 1.38 "ATI Mobility Radeon HD 4670"
